X,Y,OBJECTID,PARK_ASSET_ID,PARK_NAME,ADDRESS,WARD,DISTRICT,STATUS,FOUNTAIN_STYLE,CONDITION,OWNER,MATERIAL,MOUNT_TYPE,INSTALL_REPLACEDATE,DOG_BOWL,BOTTLE_FILLER,BOWL_TYPE,WATER_MAIN_ID,WATER_MAIN_LOCATION,COMMENTS,SE_ANNO_CAD_DATA,CREATED_USER,CREATED_DATE,LAST_EDITED_USER,LAST_EDITED_DATE,GLOBALID,VINYL_WRAP,VINYL_WRAP_TYPE
599341.2251,4785636.6778,1,170,Father Sean O'Sullivan Memorial Park,1139 Greenhill Ave,5,East,Off,Single Bowl,,Parks,Concrete,Stand-alone,,No,No,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,814d3e6f-0fb9-42da-9fb2-2bdda52b5b65,,
593258.2783,4788203.6289,2,171,Hamilton Public Library - Concession Branch,565 Concession St,7,South,Off,Single Bowl with Dog Bowl and Water Bottle Filler,,Parks,Other,Stand-alone,,Yes,Yes,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,2a9ec39d-8a04-4456-978e-696ec5154fff,,
590063.2595,4789919.7438,3,172,Right of Way - 180 Dundurn St S,180 Dundurn St S,1,North,Off,Single Bowl,,Parks,Metal,Stand-alone,,No,No,Single Bowl,,,Needing Parts,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,c1cc47a8-6c03-434c-9cde-1872e9db91fb,,
590660.8931,4789057.6823,4,173,Right of Way - 183 Aberdeen Ave,183 Aberdeen Ave,2,North,Off,Single Bowl,,Parks,Metal,Stand-alone,,No,No,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,c189843e-b31e-4f9e-af92-42086ce6b1b5,,
592770.6435,4791631.7338,5,174,Eastwood Park,111 Burlington St E,2,North,Off,Single Bowl,,Parks,Metal,Stand-alone,,No,No,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,e093a0b8-bb0d-4fac-9dfb-e119cfbbf430,,
593685.6621,4790245.8668,6,176,Hamilton Fire Department - Station 6,246 Wentworth St N,3,North,Off,Double Bowl Fountain,,Parks,Concrete,Stand-alone,,No,No,Double Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,03bf162c-17b0-40de-8020-b950b38926e8,,
596259.7739,4788711.0897,7,177,Honorable Bob Mackenzie Park,122 Province St N,3,North,Off,Single Bowl Fountain with Water Bottle Filler,,Parks,Metal,Stand-alone,,No,Yes,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,e2233bf3-600e-46f5-bbf9-a94e86f7c7d8,,
596363.6323,4786882.9203,8,178,Kimberly Stairs,36F Kimberly Dr,4,North,Off,Single Bowl with Dog Bowl and Water Bottle Filler,,Parks,Metal,Stand-alone,,Yes,Yes,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,50942c8e-b177-4c17-b26d-c5c2c55680d1,Yes,Water Droplet/Dog Park
593854.015,4790948.5887,9,179,North Central Community Park,467 Wentworth St N,3,North,Off,Single Bowl with Dog Bowl and Water Bottle Filler,,Parks,Other,Stand-alone,,Yes,Yes,Single Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,88f289b7-405f-4513-aa2b-b7eaa1b43d0e,Yes,Monarch Butterfly
599753.7686,4789222.8461,10,180,Brampton Street Dog Park,2199 Brampton St,4,East,Off,Single Bowl Fountain with Dog Bowl and Bottle Filler,,Parks,Other,Stand-alone,,No,Yes,Triple Bowl,,,,,OpenHamilton,2024/09/07 14:56:55.342+00,OpenHamilton,2024/09/07 14:56:55.342+00,be9a6cd9-0667-4efd-a76f-537f2b723fe6,Yes,Water Droplet/Dog Park
